DOM,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,onFloor,totalFloor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,district_name,Lng_transed,Lat_transed,year,month
459,790,58912,134.1,3,1,1,2,4,6,4,1999,3,2,0.5,0,Chaoyang,116.4525388,39.9902223,2017,3
408,620,52101,119,3,1,1,1,2,6,4,1999,1,2,0.333,0,Chaoyang,116.4674805,39.98592171,2017,1
443,315,20724,152,2,2,1,1,4,4,4,2001,4,2,0.091,0,Fangshan,116.1448573,39.72276862,2017,2
443,567,98097,57.8,2,1,1,1,3,6,4,1983,3,2,0.333,0,Haidian,116.3418464,39.97031773,2017,3
383,575,97657,58.88,2,1,1,1,4,6,4,1988,3,4,0.5,0,Dongcheng,116.4184509,39.92197144,2017,1
413,520,33122,157,3,2,1,2,1,14,3,2001,3,2,0.5,1,Shunyi,116.5594304,40.06016231,2017,2
408,650,97452,66.7,1,1,1,1,1,15,4,2006,4,6,0.25,1,Chaoyang,116.4211096,40.00000012,2017,2
409,528,57902,91.19,2,1,1,1,3,24,1,2003,4,6,0.25,1,Haidian,116.3447207,40.06403633,2017,2
407,535,70395,76,2,1,1,1,3,22,1,1992,3,6,0.222,1,Fengtai,116.418142,39.86217675,2017,2
403,190,79933,23.77,1,0,0,0,0,6,4,2011,3,6,0.071,1,Chaoyang,116.479087,39.96900376,2017,3
370,500,100584,49.71,1,1,1,1,4,6,4,1995,4,2,0.056,0,Dongcheng,116.4225219,39.8977683,2017,2
375,850,79626,106.75,2,2,1,1,3,24,1,2006,4,6,0.375,1,Fengtai,116.316962,39.86931945,2017,2
598,512,51791,98.86,2,1,1,1,1,26,1,2005,4,6,0.333,1,Chaoyang,116.4178692,40.03804845,2017,10
356,395,50544,78.15,2,1,1,1,1,28,1,2009,4,6,0.25,1,Chaoyang,116.44473,39.86935414,2017,2
362,1170,70533,165.88,3,2,1,2,3,22,1,2000,4,6,0.25,1,Fengtai,116.3314353,39.87417316,2017,2
360,154,27911,55.17,1,1,1,1,1,12,3,2008,4,6,0.167,1,Changping,116.4084714,40.0606469,2017,2
573,507,29575,171.43,3,2,1,2,3,7,4,2002,3,2,0.5,0,Changping,116.4330128,40.07051038,2017,9
390,441,51592,85.48,2,1,1,1,2,32,1,2003,4,2,0.3,1,Changping,116.4030934,40.07007915,2017,3
355,658.5,111422,59.1,2,1,1,1,3,7,4,1990,2,2,0.167,0,Xicheng,116.3747557,39.92832658,2017,2
353,605,70893,85.34,1,1,1,1,1,42,1,2005,4,6,0.318,1,Chaoyang,116.4538059,39.91467715,2017,2
302,1050,76087,138,3,2,1,2,0,9,4,2000,3,6,0.5,1,Chaoyang,116.434001,39.92719563,2017,1
306,950,67693,140.34,3,2,1,1,1,7,4,2005,4,6,0.5,1,Chaoyang,116.4578593,39.89408635,2017,1
374,415,47696,87.01,2,1,1,1,0,18,4,2013,2,6,0.5,1,Tongzhou,116.5489543,39.82363797,2017,3
299,710,106655,66.57,1,1,1,1,1,27,3,2012,4,6,0.5,1,Chaoyang,116.4583431,39.99069368,2017,1
312,800,72596,110.2,3,1,1,1,2,11,3,1993,3,6,0.5,1,Chaoyang,116.3765401,39.98119732,2017,1
333,450,87943,51.17,1,1,1,1,4,6,4,1988,4,2,0.2,0,Dongcheng,116.4256233,39.91300686,2017,2
342,1530,52289,292.61,4,2,1,2,3,15,4,2013,1,6,1,1,Shunyi,116.5308288,40.08977376,2017,2
300,165.5,27132,61,1,0,1,1,4,10,3,2008,4,6,0.174,1,Changping,116.4084714,40.0606469,2017,1
305,957,114983,83.23,2,2,1,1,2,16,1,2008,3,6,0.167,1,Xicheng,116.3704581,39.90156914,2017,1
325,545,35856,152,3,2,1,2,2,6,4,2005,2,2,0.5,0,Changping,116.4188366,40.0754141,2017,2
295,527,77375,68.11,2,1,1,1,2,14,3,1986,4,6,0.143,1,Dongcheng,116.4296107,39.95002012,2017,1
309,1560,81907,190.46,3,2,1,2,2,33,1,2003,4,6,0.5,1,Chaoyang,116.449357,39.91679823,2017,1
326,570,58164,98,2,1,1,2,1,17,4,2011,4,6,0.5,1,Chaoyang,116.4123943,40.03650163,2017,2
352,540,52926,102.03,2,2,1,1,1,11,4,2008,3,6,0.5,1,Chaoyang,116.4763568,39.86292062,2017,3
302,1980,90284,219.31,3,2,1,3,1,12,1,2003,4,6,0.5,1,Haidian,116.2959561,39.96073927,2017,1
300,415,27667,150,3,2,1,1,3,6,4,1998,4,2,0.5,0,Changping,116.2415163,40.21326197,2017,1
301,288,56240,51.21,2,1,1,1,0,6,4,1982,3,4,0.333,0,Chaoyang,116.3971684,39.9621994,2017,1
294,590,80933,72.9,3,1,1,1,1,16,1,1989,4,6,0.25,1,Haidian,116.3021852,39.97429276,2017,1
289,428,62693,68.27,3,1,1,1,4,6,4,1998,4,2,0.5,0,Haidian,116.2834593,40.04033613,2017,1
278,2000,120854,165.49,2,2,1,2,1,15,3,2008,4,6,0.667,1,Xicheng,116.3712515,39.90009741,2017,1
342,795,81040,98.1,3,2,1,1,1,22,1,1996,3,6,0.25,1,Haidian,116.3395095,40.05541506,2017,3
329,310,46758,66.3,1,1,1,1,1,9,4,2010,3,6,0.333,1,Fengtai,116.3313503,39.80703393,2017,2
274,618,64780,95.4,2,2,1,1,3,27,3,2007,4,6,0.5,1,Chaoyang,116.5094566,39.93253065,2017,1
319,360,48649,74,2,1,1,1,3,18,4,2009,1,6,0.667,1,Changping,116.2634351,40.16468121,2017,2
289,700,52061,134.46,2,2,1,2,1,33,1,2001,4,6,0.375,1,Chaoyang,116.4559738,39.86744391,2017,1
326,510,49219,103.62,2,2,1,1,4,15,4,2007,4,6,0.5,1,Changping,116.3174858,40.06715093,2017,2
468,632,104343,60.57,1,1,1,1,2,22,1,2004,4,6,0.273,1,Dongcheng,116.4393037,39.8975131,2017,7
325,1700,74828,227.19,4,2,1,2,0,26,1,2003,3,6,0.6,1,Haidian,116.3084745,39.93975832,2017,2
447,660,82213,80.28,2,1,1,1,1,18,1,1997,4,6,0.25,1,Haidian,116.2995616,39.96339606,2017,6
314,618,68858,89.75,2,1,1,1,2,26,1,1997,4,6,0.25,1,Chaoyang,116.464988,39.99513238,2017,2
316,828,80994,102.23,2,1,1,1,3,24,1,2009,4,6,0.4,1,Xicheng,116.3239511,39.89071368,2017,2
326,1580,82177,192.27,3,2,1,2,1,16,3,1999,4,6,1,1,Dongcheng,116.4194518,39.89809629,2017,3
456,936,53290,175.64,2,2,1,2,0,28,4,2012,4,6,0.5,1,Chaoyang,116.4585848,40.0053158,2017,7
269,635,44947,141.28,2,1,0,0,2,26,1,2006,3,6,0.182,1,Xicheng,116.3757955,39.9708054,2017,1
300,550,49541,111.02,2,1,1,1,3,19,1,2005,4,6,0.3,1,Chaoyang,116.4439676,39.96164856,2017,2
307,720,64772,111.16,2,1,1,2,1,14,4,2001,3,6,0.5,1,Chaoyang,116.4711945,39.99741603,2017,2
323,532,77113,68.99,2,1,1,1,2,13,3,1992,3,6,0.118,1,Chaoyang,116.3870499,39.96433822,2017,3
331,370,58186,63.59,1,1,1,1,1,18,1,1998,3,6,0.2,1,Chaoyang,116.5014498,39.86758863,2017,3
298,340,57716,58.91,1,1,1,1,2,6,4,2000,3,2,0.5,0,Haidian,116.3543735,40.03300298,2017,2
265,240,43637,55,1,0,0,0,3,30,1,2004,4,6,0.2,1,Changping,116.4098201,40.05625543,2017,1
303,313,54913,57,2,1,2,1,3,9,1,2015,4,6,0.167,1,Shunyi,116.5308288,40.08977376,2017,2
265,450,75000,60,2,1,1,1,0,6,4,1992,3,2,0.333,0,Xicheng,116.3623345,39.88170755,2017,1
257,520,89578,58.05,2,1,1,1,0,17,1,1990,3,6,0.25,1,Dongcheng,116.428019,39.91352561,2017,1
328,660,107668,61.3,2,1,1,1,2,6,4,1989,3,4,0.5,0,Xicheng,116.3597907,39.92114246,2017,3
376,555,62137,89.32,2,2,1,2,3,11,4,2012,2,6,0.333,1,Changping,116.2978672,40.09910715,2017,5
302,320,64582,49.55,2,0,1,1,0,6,4,1987,3,2,0.333,0,Dongcheng,116.4318671,39.89755115,2017,3
249,548,48329,113.39,2,1,1,1,1,18,1,2000,4,6,0.111,1,Chaoyang,116.4282739,39.98858623,2017,1
301,375,57693,65,1,1,1,1,1,22,3,2007,4,6,0.4,1,Chaoyang,116.4083309,40.02282144,2017,3
302,48.8,24647,19.8,1,1,1,1,0,28,3,2011,3,6,0.625,1,Changping,116.2634351,40.16468121,2017,3
273,515,48140,106.98,1,1,1,1,2,6,4,2011,4,6,0.071,1,Chaoyang,116.479087,39.96900376,2017,2
251,258.5,49712,52,1,0,1,1,2,19,1,2009,4,6,0.111,1,Haidian,116.2723492,39.92695703,2017,1
252,535,82792,64.62,2,1,1,1,1,16,3,1986,3,6,0.167,1,Chaoyang,116.391935,39.97073341,2017,1
306,537,84875,63.27,2,1,1,1,4,6,4,1996,4,2,0.5,0,Haidian,116.27531,39.92433002,2017,3
286,409,73548,55.61,2,1,1,1,4,6,4,1991,4,6,0.5,0,Chaoyang,116.418237,39.97011234,2017,2
240,165.8,32440,51.11,1,0,1,1,1,19,1,2011,4,6,0.235,1,Changping,116.3312039,40.07144776,2017,1
252,107.6,21607,49.8,1,0,0,1,2,14,3,2007,3,6,0.047,1,Chaoyang,116.4075061,40.04895236,2017,1
243,398.5,86574,46.03,1,1,1,1,2,12,3,2002,4,6,0.167,1,Haidian,116.3129489,40.04233232,2017,1
229,386,43086,89.59,2,1,1,1,1,28,3,2011,1,6,0.5,1,Fangshan,116.2000995,39.76020301,2017,1
293,453,88999,50.9,2,1,1,1,4,6,4,1980,3,2,0.2,0,Haidian,116.3596446,39.95166012,2017,3
227,560,90323,62,2,1,1,1,2,18,1,1990,4,6,0.25,1,Dongcheng,116.4205087,39.93168729,2017,1
246,940,136035,69.1,3,1,1,1,4,6,4,1985,3,2,0.5,0,Xicheng,116.3594867,39.89968831,2017,1
234,537,67033,80.11,3,1,1,1,0,12,3,1989,3,6,0.167,1,Chaoyang,116.4342307,39.95391901,2017,1
293,605,76293,79.3,1,1,1,1,1,14,4,2002,4,6,0.333,1,Chaoyang,116.4565092,39.89499371,2017,3
275,479,100273,47.77,1,1,1,1,3,6,4,1980,4,2,0.333,0,Xicheng,116.331847,39.88074782,2017,2
268,720,44641,161.29,3,2,1,2,3,6,4,2002,4,2,0.333,0,Chaoyang,116.4918649,39.87390701,2017,2
300,4100,142858,287,4,3,1,4,4,6,4,2008,1,6,1,1,Chaoyang,116.3721266,40.0065908,2017,3
290,454,42602,106.57,2,1,1,1,4,16,1,2001,4,2,0.25,1,Changping,116.4266787,40.06473297,2017,3
257,488,63377,77,3,1,1,1,0,6,4,1981,4,6,0.333,0,Chaoyang,116.4612459,39.92535427,2017,2
288,4304,105654,407.37,4,2,2,5,2,15,1,2009,1,6,0.8,1,Xicheng,116.371201,39.90211593,2017,3
223,320,37445,85.46,2,1,1,1,2,13,3,2012,4,6,0.333,1,Fangshan,116.1570472,39.75327435,2017,1
229,823,132124,62.29,1,1,1,1,0,21,3,2003,3,6,0.286,1,Xicheng,116.3800363,39.9619443,2017,1
479,528,64461,81.91,2,1,1,1,0,18,1,1987,4,6,0.286,1,Chaoyang,116.4332825,39.95692333,2017,9
255,600,85715,70,2,1,1,1,2,16,1,1996,3,6,0.2,1,Xicheng,116.34652,39.8756739,2017,2
228,370,41965,88.17,3,1,1,1,3,18,4,2012,2,6,0.5,1,Fangshan,116.1797896,39.77149489,2017,1
554,850,39261,216.5,4,2,1,3,0,3,4,1999,4,2,0.5,0,Shunyi,116.5477717,40.10302364,2017,12
256,450,29097,154.66,4,2,1,2,3,6,4,2002,1,2,0.5,0,Shunyi,116.6493443,40.17658349,2017,2
256,428,46091,92.86,3,1,1,1,4,6,4,2002,3,6,0.5,0,Daxing,116.447893,39.7999751,2017,2
284,1100,84188,130.66,3,1,1,2,1,18,4,2005,3,6,0.667,1,Fengtai,116.2726857,39.88094055,2017,3
277,960,84344,113.82,3,1,1,1,0,6,4,1996,4,2,0.143,0,Chaoyang,116.3971296,39.99854561,2017,3
257,770,44620,172.57,3,2,1,2,0,3,4,1998,3,2,0.5,0,Shunyi,116.5477717,40.10302364,2017,2
209,235,42435,55.38,1,0,0,1,2,30,1,2004,3,6,0.2,1,Changping,116.4098201,40.05625543,2017,1
204,1590,53717,296,4,2,1,3,1,3,4,1993,4,6,0.5,0,Dongcheng,116.4351733,39.92738973,2017,1
238,735,128948,57,3,1,1,1,4,5,4,1982,3,2,0.333,0,Dongcheng,116.4043274,39.94587356,2017,2
246,500,60976,82,2,1,1,1,3,27,1,2011,4,6,0.4,1,Tongzhou,116.6766614,39.9244086,2017,2
254,840,146854,57.2,1,1,1,1,3,17,3,2001,4,2,0.143,1,Xicheng,116.365629,39.91041046,2017,2
242,1415,55687,254.1,4,2,1,2,1,17,3,2003,3,6,0.667,1,Chaoyang,116.4119896,39.98411942,2017,2
278,520,91229,57,2,1,1,1,0,6,4,1980,4,2,0.333,0,Dongcheng,116.402591,39.86879687,2017,3
267,1060,116612,90.9,2,2,1,2,2,5,4,1994,3,2,0.5,0,Xicheng,116.3545419,39.94148385,2017,3
200,678,108480,62.5,2,1,1,1,4,6,4,1988,1,2,0.5,0,Xicheng,116.3719125,39.90743787,2017,1
257,760,131035,58,2,1,1,1,3,21,1,1989,4,6,0.286,1,Xicheng,116.3487517,39.91749698,2017,2
257,460,48828,94.21,2,1,1,1,2,5,4,2004,3,6,0.5,0,Daxing,116.4112625,39.78360334,2017,2
460,750,50608,148.2,3,2,1,3,1,27,4,2005,4,6,0.333,1,Chaoyang,116.4921853,39.9581086,2017,9
203,450,92746,48.52,2,0,1,1,0,8,3,1979,3,6,0.333,1,Xicheng,116.3590469,39.89861837,2017,1
214,865,75461,114.63,2,1,1,2,2,21,4,2011,4,6,0.667,1,Chaoyang,116.499894,39.97822731,2017,1
264,2600,147745,175.98,3,2,1,2,2,16,3,2007,4,6,0.333,1,Xicheng,116.3551037,39.92815288,2017,3
271,829,114314,72.52,2,1,1,1,1,23,1,2003,4,6,0.25,1,Dongcheng,116.4251401,39.93408228,2017,3
274,560,90469,61.9,2,1,1,1,0,6,4,1993,3,2,0.333,0,Haidian,116.369892,39.97618871,2017,3
219,625,91912,68,3,1,1,1,2,5,4,1984,3,2,0.333,0,Chaoyang,116.4536381,39.9213427,2017,1
244,548,98385,55.7,1,1,1,1,0,6,4,1988,3,2,0.333,0,Haidian,116.2974372,39.95840495,2017,2
254,1390,71750,193.73,3,2,1,4,3,6,4,2014,2,6,0.5,0,Chaoyang,116.5186423,40.05485667,2017,2
236,750,79618,94.2,3,1,1,2,2,8,4,2000,3,6,0.5,1,Chaoyang,116.4328072,39.96775905,2017,2
248,356,65683,54.2,2,1,1,1,1,12,3,1997,3,6,0.154,1,Fengtai,116.3819428,39.85370388,2017,2
214,596,60742,98.12,2,1,1,1,2,21,1,2005,3,6,0.25,1,Fengtai,116.3675649,39.84258559,2017,1
203,835,51030,163.63,2,1,1,1,2,14,3,2003,3,6,0.667,1,Chaoyang,116.4547784,39.92503712,2017,1
247,800,75686,105.7,3,0,1,1,2,5,4,1963,3,4,0.333,0,Xicheng,116.352683,39.94188878,2017,2
236,850,52580,161.66,3,2,1,2,2,23,1,1999,3,2,0.333,1,Xicheng,116.3456211,39.86874626,2017,2
251,577,58962,97.86,2,2,1,1,1,23,3,2008,3,6,0.3,1,Chaoyang,116.4127021,40.04521819,2017,3
268,612,92031,66.5,2,1,1,1,3,18,1,1985,4,6,0.333,1,Haidian,116.357577,39.94512055,2017,3
246,546,56289,97,2,1,1,1,2,10,3,2010,4,6,0.5,1,Shunyi,116.5475558,40.11011849,2017,2
226,1150,90924,126.48,3,2,1,2,3,25,1,2004,3,6,0.25,1,Haidian,116.3550609,39.95235108,2017,2
244,1228,83538,147,3,2,1,2,3,23,3,2006,1,6,0.5,1,Chaoyang,116.413831,39.99529504,2017,2
242,434,66038,65.72,1,1,1,1,1,23,3,2008,4,6,0.3,1,Chaoyang,116.4127021,40.04521819,2017,2
201,597,84085,71,1,1,1,1,2,20,1,2005,3,6,0.5,1,Chaoyang,116.4629295,39.94381919,2017,1
200,673,54262,124.03,3,1,1,2,3,6,4,2002,4,2,0.5,0,Tongzhou,116.6351232,39.88883544,2017,1
232,745,127788,58.3,2,1,1,1,2,18,1,1991,4,2,0.286,1,Xicheng,116.3714039,39.95703217,2017,2
220,700,45752,153,4,1,1,2,1,25,1,1990,3,6,0.5,1,Fengtai,116.4287462,39.86477048,2017,2
249,530,83073,63.8,2,1,1,1,4,5,4,1988,2,2,0.25,0,Dongcheng,116.4061217,39.9226048,2017,3
261,430,84780,50.72,2,1,1,1,4,5,4,1980,4,4,0.333,0,Chaoyang,116.4527731,39.95198339,2017,3
182,455,48674,93.48,3,1,1,1,3,9,4,2011,4,6,0.5,1,Fangshan,116.2000995,39.76020301,2017,1
228,800,97920,81.7,3,1,1,1,1,16,1,1987,4,2,0.286,1,Xicheng,116.3394039,39.90866636,2017,2
244,1520,78900,192.65,4,2,1,2,4,19,1,1995,1,6,1,1,Chaoyang,116.4122095,39.98221312,2017,3
192,428,87723,48.79,1,0,1,1,2,26,1,2008,1,6,0.211,1,Xicheng,116.3307215,39.88779768,2017,1
234,374,65915,56.74,2,1,1,1,3,6,4,1984,3,2,0.333,0,Chaoyang,116.449393,39.87797734,2017,2
280,500,72929,68.56,3,1,1,1,4,6,4,1988,3,2,0.5,0,Chaoyang,116.4412628,39.89662976,2017,4
193,960,138930,69.1,3,1,1,1,2,6,4,1985,3,2,0.5,0,Xicheng,116.3594867,39.89968831,2017,1
218,500,81968,61,2,1,1,1,1,6,4,1985,3,4,0.333,0,Xicheng,116.3425668,39.87522539,2017,2
219,352,43506,80.91,2,1,1,1,2,20,3,2012,4,6,0.5,1,Fangshan,116.2113304,39.75684155,2017,2
179,266,37651,70.65,2,1,1,1,2,6,4,1994,3,2,0.5,0,Daxing,116.3417765,39.72613531,2017,1
227,600,39216,153,3,2,1,3,2,6,4,2009,4,2,0.5,0,Shunyi,116.5433757,40.15494433,2017,2
179,988,52414,188.5,4,2,1,3,2,6,4,2009,4,6,0.5,1,Fengtai,116.4188192,39.83456202,2017,1
230,488,87786,55.59,3,1,1,1,0,13,1,1979,3,6,0.125,1,Dongcheng,116.4035787,39.89919675,2017,2
183,370,44724,82.73,2,1,1,1,1,17,4,2006,4,6,0.5,1,Shunyi,116.6593932,40.13365405,2017,1
213,542,102265,53,2,1,1,1,0,6,4,1980,3,2,0.5,0,Xicheng,116.3592887,39.87688767,2017,2
239,477,98717,48.32,2,1,1,1,3,16,1,1983,3,6,0.25,1,Chaoyang,116.4384344,39.93972534,2017,3
217,378,61968,61,2,1,1,1,4,6,4,1987,3,6,0.333,0,Chaoyang,116.4467702,39.88882968,2017,2
193,520,31187,166.74,3,2,1,2,3,7,4,2005,4,2,0.5,0,Changping,116.4265897,40.07503366,2017,1
240,1350,97607,138.31,3,1,1,2,1,16,1,2005,3,6,0.25,1,Haidian,116.2976365,39.98009761,2017,3
220,590,28841,204.57,4,2,1,3,2,28,4,2010,2,6,1,1,Changping,116.2310255,40.21457698,2017,2
229,608,34648,175.48,3,2,1,1,4,19,1,2006,1,6,0.5,1,Fengtai,116.4214268,39.85640532,2017,2
235,269,43451,61.91,1,1,1,1,2,22,1,2004,1,6,0.2,1,Fengtai,116.2332669,39.83250799,2017,3
175,566,104045,54.4,2,1,1,1,2,6,4,1985,3,2,0.333,0,Haidian,116.3167554,39.9707403,2017,1
194,830,112619,73.7,2,1,1,1,1,16,1,1985,4,2,0.286,1,Xicheng,116.3622224,39.90219228,2017,1
385,1450,86770,167.11,3,3,1,2,3,7,4,2014,4,6,0.5,0,Chaoyang,116.5227349,40.05426467,2017,8
212,420,80123,52.42,2,1,1,1,4,5,4,1975,4,2,0.25,0,Chaoyang,116.4405585,39.9186466,2017,2
192,439,91842,47.8,2,0,1,1,2,6,4,1992,1,2,0.031,0,Xicheng,116.3480955,39.89492345,2017,1
317,2350,75352,311.87,6,2,1,4,4,6,4,2003,4,2,0.333,1,Dongcheng,116.3984911,39.94503556,2017,5
229,830,78808,105.32,3,0,1,1,2,5,4,1963,3,4,0.333,0,Xicheng,116.352683,39.94188878,2017,2
173,350,48031,72.87,1,1,1,1,2,11,3,2000,3,6,0.333,1,Daxing,116.4505114,39.80998208,2017,1
271,456,48031,94.94,2,1,1,1,0,6,4,2000,4,2,0.5,0,Changping,116.3246914,40.07933066,2017,4
218,720,82750,87.01,2,2,1,2,3,25,3,2009,4,6,0.667,1,Chaoyang,116.4589943,40.02247259,2017,2
229,467,84709,55.13,1,1,1,1,2,18,3,2001,4,6,0.333,1,Chaoyang,116.4363629,39.97114683,2017,3
184,443,40044,110.63,2,2,1,1,2,7,4,2002,4,2,0.5,0,Changping,116.4330128,40.07051038,2017,1
238,418,34747,120.3,2,1,1,2,0,26,1,2004,3,6,0.333,1,Chaoyang,116.4178692,40.03804845,2017,3
255,445,34118,130.43,3,1,1,1,4,19,1,2006,3,6,0.5,1,Fengtai,116.4214268,39.85640532,2017,3
238,595,101502,58.62,2,1,1,1,0,3,4,1985,1,4,0.333,0,Dongcheng,116.394826,39.92424284,2017,3
186,437,53378,81.87,2,1,1,1,2,23,1,1996,3,6,0.2,1,Chaoyang,116.4593052,39.88069129,2017,1
236,1238,71906,172.17,4,1,1,1,4,28,1,2001,4,6,0.5,1,Chaoyang,116.4543911,40.00732208,2017,3
215,655,45639,143.52,3,2,1,2,3,9,4,2003,4,6,0.5,1,Changping,116.315334,40.07156225,2017,2
459,736,64841,113.51,2,2,1,1,1,7,4,2010,4,6,0.5,1,Chaoyang,116.4991424,39.89701017,2017,10
198,1600,68491,233.61,4,2,1,3,2,25,3,2008,4,6,0.667,1,Chaoyang,116.4868095,39.87737603,2017,2
217,340,70687,48.1,1,1,1,1,3,6,4,1993,4,4,0.5,0,Chaoyang,116.4661208,39.94127242,2017,2
226,360,64286,56,1,1,1,1,2,20,3,2008,1,6,0.5,1,Changping,116.4003543,40.05447873,2017,3
234,635,95489,66.5,3,1,1,0,0,5,4,1984,4,2,0.333,0,Haidian,116.3143019,39.95471664,2017,3
183,540,35357,152.73,3,2,1,2,3,13,4,2003,4,2,0.5,1,Changping,116.4030934,40.07007915,2017,1
176,584.2,48757,119.81,3,1,1,2,1,17,3,2012,4,6,0.4,1,Chaoyang,116.6033907,39.89659184,2017,1
217,720,128046,56.23,2,1,1,1,1,12,1,1984,3,6,0.125,1,Xicheng,116.3495047,39.90272728,2017,2
172,378,42472,89,2,1,1,1,3,21,1,2012,3,6,0.5,1,Fangshan,116.1985522,39.76129338,2017,1
179,315,86706,36.33,1,1,1,1,2,6,4,1984,4,4,0.333,0,Chaoyang,116.4507221,39.94829508,2017,1
248,448,46134,97.11,3,1,1,1,4,6,4,2004,4,2,0.5,0,Shunyi,116.5286708,40.0959337,2017,3
160,553,79523,69.54,3,0,1,1,1,16,1,1983,4,6,0.25,1,Chaoyang,116.4384344,39.93972534,2017,1
206,345,44379,77.74,2,1,1,1,2,20,3,2011,4,6,0.2,1,Chaoyang,116.4123943,40.03650163,2017,2
401,275,44571,61.7,3,0,1,1,2,5,4,1984,4,2,0.333,0,Chaoyang,116.5659079,39.90116848,2017,9
232,938,127273,73.7,3,1,1,1,3,6,4,1985,4,2,0.5,0,Xicheng,116.3719125,39.90743787,2017,3
252,640,57898,110.54,2,2,1,2,4,6,4,2004,1,2,0.5,1,Changping,116.3338153,40.08961067,2017,4
198,413,62482,66.1,3,0,1,1,1,15,1,1991,3,6,0.2,1,Fengtai,116.4151296,39.86300545,2017,2
175,437,69146,63.2,2,1,1,2,2,13,3,2011,4,6,0.182,1,Chaoyang,116.4123943,40.03650163,2017,1
212,800,101023,79.19,3,1,1,1,4,6,4,1992,3,2,0.333,0,Xicheng,116.3397188,39.88456846,2017,2
211,386,45412,85,2,2,1,1,2,14,4,2012,4,6,0.667,1,Changping,116.2619851,40.1163612,2017,2
226,675,65906,102.42,2,2,1,2,2,10,3,2005,3,6,0.333,1,Tongzhou,116.688037,39.90791125,2017,3
334,488,87284,55.91,2,2,1,2,0,20,3,2008,1,6,0.667,1,Changping,116.4003543,40.05447873,2017,7
192,50,26625,18.78,1,0,0,1,1,28,3,2011,4,6,0.385,1,Changping,116.2634351,40.16468121,2017,2
187,480,42550,112.81,2,1,1,2,2,20,3,2008,4,6,0.333,1,Chaoyang,116.5633479,39.90449301,2017,2
173,344,52106,66.02,1,1,1,1,3,28,1,2001,4,6,0.3,1,Chaoyang,116.4533826,39.87250893,2017,1
202,1220,47225,258.34,4,2,1,3,0,16,4,2003,3,6,0.5,1,Chaoyang,116.4893923,39.95460011,2017,2
